Metrics,Severity,API,Description
java.method.added,No,redis.clients.jedis.commands.AdvancedBinaryJedisCommands.aclLoad:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedBinaryJedisCommands.aclSave:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedBinaryJedisCommands.clientInfoBinary:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedBinaryJedisCommands.clientListBinary:([J),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedBinaryJedisCommands.clientUnblock:(JLredis.clients.jedis.args.UnblockType),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedJedisCommands.aclLoad:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedJedisCommands.aclSave:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedJedisCommands.clientInfo:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedJedisCommands.clientList:([J),Added Methods
java.method.added,No,redis.clients.jedis.commands.AdvancedJedisCommands.clientUnblock:(JLredis.clients.jedis.args.UnblockType),Added Methods
java.method.added,No,redis.clients.jedis.ZParams.Aggregate.getRaw:(),Added Methods
java.method.added,No,redis.clients.jedis.commands.BasicCommands.flushAll:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.commands.BasicCommands.flushDB:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.commands.BasicRedisPipeline.flushAll:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.commands.BasicRedisPipeline.flushDB:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.aclLoad:(),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.aclSave:(),Added Methods
java.method.added,No,"redis.clients.jedis.BinaryClient.""<init>"":(Lredis.clients.jedis.HostAndPortLredis.clients.jedis.JedisClientConfig)",Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.blmove:([B[BLredis.clients.jedis.args.ListDirectionLredis.clients.jedis.args.ListDirectionD),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.blpop:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.brpop:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.bzpopmax:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.bzpopmin:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.clientInfo:(),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.clientList:([J),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.clientUnblock:(JLredis.clients.jedis.args.UnblockType),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.copy:([B[BZ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.copy:([B[BIZ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.expire:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.flushAll:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.flushDB:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.lmove:([B[BLredis.clients.jedis.args.ListDirectionLredis.clients.jedis.args.ListDirection),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.restoreReplace:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.scriptFlush:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.setex:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xadd:([BLjava.util.MapLredis.clients.jedis.params.XAddParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xclaim:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xclaimJustId:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xpending:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xpending:([B[BLredis.clients.jedis.params.XPendingParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xrange:([B[B[BI),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xread:(Lredis.clients.jedis.params.XReadParams[Ljava.util.Map$Entry),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xreadGroup:([B[BLredis.clients.jedis.params.XReadGroupParams[Ljava.util.Map$Entry),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xrevrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.xtrim:([BLredis.clients.jedis.params.XTrimParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zaddIncr:([BD[BLredis.clients.jedis.params.ZAddParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zdiff:([[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zdiffStore:([B[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zdiffWithScores:([[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zinter:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zinterWithScores:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zrandmember:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zrandmember:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zrandmemberWithScores:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zunion:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryClient.zunionWithScores:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.aclLoad:(),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.aclSave:(),Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedis.""<init>"":(Lredis.clients.jedis.HostAndPortLredis.clients.jedis.JedisClientConfig)",Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedis.""<init>"":(Lredis.clients.jedis.JedisSocketFactoryLredis.clients.jedis.JedisClientConfig)",Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedis.""<init>"":(Ljava.lang.StringILredis.clients.jedis.JedisClientConfig)",Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedis.""<init>"":(Ljava.net.URILredis.clients.jedis.JedisClientConfig)",Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.blmove:([B[BLredis.clients.jedis.args.ListDirectionLredis.clients.jedis.args.ListDirectionD),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.blpop:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.brpop:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.bzpopmax:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.bzpopmin:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.clientInfoBinary:(),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.clientListBinary:([J),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.clientUnblock:(JLredis.clients.jedis.args.UnblockType),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.copy:([B[BZ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.copy:([B[BIZ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.expire:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.flushAll:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.flushDB:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.isBroken:(),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.lmove:([B[BLredis.clients.jedis.args.ListDirectionLredis.clients.jedis.args.ListDirection),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.restoreReplace:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.scriptFlush:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.setex:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.toString:(),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xadd:([BLjava.util.MapLredis.clients.jedis.params.XAddParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xclaim:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xclaimJustId:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xinfoConsumersBinary:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xinfoGroupBinary:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xinfoStreamBinary:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xpending:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xpending:([B[BLredis.clients.jedis.params.XPendingParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xrange:([B[B[BI),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xread:(Lredis.clients.jedis.params.XReadParams[Ljava.util.Map$Entry),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xreadGroup:([B[BLredis.clients.jedis.params.XReadGroupParams[Ljava.util.Map$Entry),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xrevrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.xtrim:([BLredis.clients.jedis.params.XTrimParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zaddIncr:([BD[BLredis.clients.jedis.params.ZAddParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zdiff:([[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zdiffStore:([B[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zdiffWithScores:([[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zinter:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zinterWithScores:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zrandmember:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zrandmember:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zrandmemberWithScores:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zunion:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedis.zunionWithScores:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedisCluster.""<init>"":(Ljava.util.SetIIIILjava.lang.StringLjava.lang.StringLjava.lang.StringLorg.apache.commons.pool2.impl.GenericObjectPoolConfigZLjavax.net.ssl.SSLSocketFactoryLjavax.net.ssl.SSLParametersLjavax.net.ssl.HostnameVerifierLredis.clients.jedis.JedisClusterHostAndPortMapLjava.time.Duration)",Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedisCluster.""<init>"":(Ljava.util.SetLredis.clients.jedis.JedisClientConfigILjava.time.DurationLorg.apache.commons.pool2.impl.GenericObjectPoolConfig)",Added Methods
java.method.added,No,"redis.clients.jedis.BinaryJedisCluster.""<init>"":(Ljava.util.SetLredis.clients.jedis.JedisClientConfigILorg.apache.commons.pool2.impl.GenericObjectPoolConfig)",Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.blmove:([B[BLredis.clients.jedis.args.ListDirectionLredis.clients.jedis.args.ListDirectionD),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.blpop:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.brpop:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.bzpopmax:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.bzpopmin:(D[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.copy:([B[BZ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.lmove:([B[BLredis.clients.jedis.args.ListDirectionLredis.clients.jedis.args.ListDirection),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.scriptFlush:([BLredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.setex:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xadd:([BLjava.util.MapLredis.clients.jedis.params.XAddParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xclaim:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xclaimJustId:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xpending:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xpending:([B[BLredis.clients.jedis.params.XPendingParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xrange:([B[B[BI),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xread:(Lredis.clients.jedis.params.XReadParams[Ljava.util.Map$Entry),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xreadGroup:([B[BLredis.clients.jedis.params.XReadGroupParams[Ljava.util.Map$Entry),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xrevrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.xtrim:([BLredis.clients.jedis.params.XTrimParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zaddIncr:([BD[BLredis.clients.jedis.params.ZAddParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zdiff:([[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zdiffStore:([B[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zdiffWithScores:([[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zinter:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zinterWithScores:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zrandmember:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zrandmember:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zrandmemberWithScores:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zunion:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryJedisCluster.zunionWithScores:(Lredis.clients.jedis.ZParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.setex:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xadd:([BLjava.util.MapLredis.clients.jedis.params.XAddParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xclaim:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xclaimJustId:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xpending:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xpending:([B[BLredis.clients.jedis.params.XPendingParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xrange:([B[B[BI),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xrevrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.xtrim:([BLredis.clients.jedis.params.XTrimParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.zaddIncr:([BD[BLredis.clients.jedis.params.ZAddParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.zrandmember:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.zrandmember:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisClusterCommands.zrandmemberWithScores:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.expire:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.restoreReplace:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.setex:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xadd:([BLjava.util.MapLredis.clients.jedis.params.XAddParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xclaim:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xclaimJustId:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xinfoConsumersBinary:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xinfoGroupBinary:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xinfoStreamBinary:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xpending:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xpending:([B[BLredis.clients.jedis.params.XPendingParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xrange:([B[B[BI),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xrevrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.xtrim:([BLredis.clients.jedis.params.XTrimParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.zaddIncr:([BD[BLredis.clients.jedis.params.ZAddParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.zrandmember:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.zrandmember:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryJedisCommands.zrandmemberWithScores:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.expire:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.restoreReplace:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.setex:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xadd:([BLjava.util.MapLredis.clients.jedis.params.XAddParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xclaim:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xclaimJustId:([B[B[BJLredis.clients.jedis.params.XClaimParams[[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xpending:([B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xpending:([B[BLredis.clients.jedis.params.XPendingParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xpendingBinary:([B[B[B[BI[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xrevrange:([B[B[B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.xtrim:([BLredis.clients.jedis.params.XTrimParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.zaddIncr:([BD[BLredis.clients.jedis.params.ZAddParams),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.zrandmember:([B),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.zrandmember:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryRedisPipeline.zrandmemberWithScores:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.commands.BinaryScriptingCommands.scriptFlush:(Lredis.clients.jedis.args.FlushMode),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.expire:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.geoadd:([BLredis.clients.jedis.params.GeoAddParamsLjava.util.Map),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.getDel:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.getEx:([BLredis.clients.jedis.params.GetExParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.hrandfield:([B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.hrandfield:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.hrandfieldWithValues:([BJ),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.restore:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.restore:([BJ[BLredis.clients.jedis.params.RestoreParams),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.restoreReplace:([BJ[B),Added Methods
java.method.added,No,redis.clients.jedis.BinaryShardedJedis.setex:([BJ[B),Added Methods
